Average,Upper,Lower,JOL_Bin,Direction,Encoding
14.81481481,26.325194,3.304435633,0,B,IS
20.28146157,33.78974887,6.773174264,10,B,IS
23.24283154,36.78980548,9.695857605,20,B,IS
31.02284419,44.60064845,17.44503993,30,B,IS
32.0519553,47.96909132,16.13481928,40,B,IS
38.175041,52.22726956,24.12281244,50,B,IS
36.0995323,51.8785827,20.32048191,60,B,IS
35.62597675,51.22480816,20.02714533,70,B,IS
33.39635292,47.22133264,19.57137321,80,B,IS
29.73430114,44.99169432,14.47690796,90,B,IS
28.74025974,43.11721533,14.36330415,100,B,IS
28.64285714,43.53409898,28.64285714,0,F,IS
43.96867168,59.94982401,43.96867168,10,F,IS
56.31657502,71.81564684,56.31657502,20,F,IS
62.71809017,77.92208355,62.71809017,30,F,IS
64.06237087,79.74127101,64.06237087,40,F,IS
64.33351515,79.27740833,64.33351515,50,F,IS
70.86107801,85.88923965,70.86107801,60,F,IS
70.99389283,84.0372899,70.99389283,70,F,IS
69.11153989,84.01529997,69.11153989,80,F,IS
61.36698568,76.94004132,61.36698568,90,F,IS
55.55357143,71.32580913,55.55357143,100,F,IS
20.3,33.65663264,6.943367357,0,S,IS
30.41331331,42.590458,18.23616863,10,S,IS
41.40185498,57.4282487,25.37546126,20,S,IS
52.29027505,68.23466439,36.3458857,30,S,IS
55.10427655,71.07848765,39.13006544,40,S,IS
56.93602474,72.36697552,41.50507395,50,S,IS
64.06924429,79.78578659,48.35270198,60,S,IS
64.31343363,78.82631615,49.80055111,70,S,IS
64.84960023,80.22663431,49.47256615,80,S,IS
58.95219143,74.57187622,43.33250663,90,S,IS
53.15047022,68.98694823,37.31399221,100,S,IS
7.758215962,16.26698075,0,0,U,IS
12.89489707,24.13175819,1.658035945,10,U,IS
16.99771397,28.78319386,5.212234082,20,U,IS
19.95544941,32.7704942,7.140404628,30,U,IS
25.05295508,38.65693162,11.44897855,40,U,IS
24.1756604,39.06762338,9.283697417,50,U,IS
31.51866491,43.83477059,19.20255923,60,U,IS
30.76703092,46.97146649,14.56259536,70,U,IS
36.06654783,50.99983601,21.13325965,80,U,IS
26.47059935,42.36829862,10.57290008,90,U,IS
16.6667,31.95471707,1.378682933,100,U,IS
11.63953488,20.95641572,2.322654047,0,B,RL
14.77669066,24.72793803,4.825443283,10,B,RL
16.18631938,27.76855071,4.604088053,20,B,RL
21.85515996,32.52454709,11.18577283,30,B,RL
23.64344194,37.04573103,10.24115285,40,B,RL
29.26911977,41.85578857,16.68245097,50,B,RL
33.34634982,47.02743032,19.66526931,60,B,RL
37.07077662,51.44028802,22.70126523,70,B,RL
39.10952582,53.03893171,25.18011992,80,B,RL
35.83160133,49.94604935,21.71715331,90,B,RL
32.44791667,45.95331379,18.94251954,100,B,RL
11.88135593,21.30475909,2.457952773,0,F,RL
32.72201112,47.03080754,18.4132147,10,F,RL
41.52626502,56.12065859,26.93187146,20,F,RL
43.46254539,57.70396041,29.22113037,30,F,RL
47.38328182,61.99734792,32.76921573,40,F,RL
54.71446635,68.98262862,40.44630409,50,F,RL
61.62243493,75.85641102,47.38845883,60,F,RL
61.07162603,74.91107163,47.23218043,70,F,RL
63.71984336,78.05353812,49.3861486,80,F,RL
61.88048201,75.3534404,48.40752361,90,F,RL
59.72434018,73.86192474,45.58675561,100,F,RL
12.76363636,22.47979046,3.047482264,0,S,RL
28.37575758,42.60445615,14.14705901,10,S,RL
37.75757576,51.91495208,23.60019943,20,S,RL
38.99636364,53.53919937,24.4535279,30,S,RL
40.99636364,55.42661858,26.56610869,40,S,RL
44.34787879,58.66953548,30.0262221,50,S,RL
45.21010101,59.77411988,30.64608214,60,S,RL
46.93166964,61.33729474,32.52604454,70,S,RL
49.86612095,64.3472444,35.38499749,80,S,RL
52.92036002,67.10879118,38.73192886,90,S,RL
51.82938389,66.23717372,37.42159405,100,S,RL
9.865874363,18.48189244,1.249856284,0,U,RL
11.77661558,21.39008763,2.163143526,10,U,RL
15.41251909,25.11174304,5.713295145,20,U,RL
18.84752382,30.67678318,7.018264468,30,U,RL
23.25827571,35.56139563,10.9551558,40,U,RL
23.03374741,35.86361175,10.20388307,50,U,RL
26.56231884,38.40756366,14.71707402,60,U,RL
23.02051282,37.00375471,9.037270932,70,U,RL
17.81326644,28.65610246,6.970430423,80,U,RL
15.73750887,21.75588858,9.71912916,90,U,RL
27.27272727,40.77125596,13.77419859,100,U,RL
13.7254902,24.49587807,2.955102325,0,B,READ
15.69960784,28.27671122,3.122504464,10,B,READ
20.07159892,30.67250407,9.470693765,20,B,READ
22.46207511,36.27521926,8.648930953,30,B,READ
27.87504563,41.75049543,13.99959583,40,B,READ
28.46268969,42.67703563,14.24834375,50,B,READ
32.1546105,46.22578459,18.08343642,60,B,READ
33.62719554,48.75926802,18.49512305,70,B,READ
38.62965191,53.37738356,23.88192025,80,B,READ
42.46679513,57.90052427,27.03306599,90,B,READ
49.75862069,65.29039204,34.22684934,100,B,READ
42.525,58.03334369,27.01665631,0,F,READ
44.01374239,59.48743513,28.54004966,10,F,READ
46.28650359,61.89738665,30.67562053,20,F,READ
51.76333068,67.34638146,36.18027991,30,F,READ
53.97289054,69.38464249,38.56113858,40,F,READ
57.14024962,72.63558978,41.64490945,50,F,READ
61.27146174,76.57558634,45.96733714,60,F,READ
65.78301501,80.04192776,51.52410227,70,F,READ
71.26030398,85.70515192,56.81545603,80,F,READ
73.07437805,86.4996712,59.6490849,90,F,READ
75.47222222,88.83352597,62.11091847,100,F,READ
16.04,27.63015911,4.449840887,0,S,READ
28.2786896,42.98604512,13.57133408,10,S,READ
33.65821341,48.73832366,18.57810316,20,S,READ
35.6474026,50.244063,21.05074219,30,S,READ
40.03576902,55.21413209,24.85740595,40,S,READ
48.2645335,63.816873,32.712194,50,S,READ
54.09516413,69.51460174,38.67572652,60,S,READ
58.2037674,73.64956633,42.75796848,70,S,READ
58.92881245,74.03952024,43.81810466,80,S,READ
62.26682293,77.57085089,46.96279497,90,S,READ
65.90592334,80.60483205,51.20701464,100,S,READ
6.968539326,14.86669816,0,0,U,READ
13.61808454,25.52574883,1.710420243,10,U,READ
15.40939335,26.82786854,3.990918152,20,U,READ
15.73679676,25.99436666,5.47922686,30,U,READ
13.73679676,25.97790384,1.495689684,40,U,READ
16.03289792,25.44843336,6.617362476,50,U,READ
19.46581197,31.92139459,7.010229343,60,U,READ
23.2991453,37.68812558,8.910165015,70,U,READ
28.79365079,41.97806228,15.60923931,80,U,READ
30.5,45.9097871,15.0902129,90,U,READ
34.28571429,49.21046672,19.36096185,100,U,READ
